CSD_ID,County,LatDD,LongDD,Surf_Elev,YearMsr,DateMsr,Season,WatLevel
403322099304801,PHELPS,40.5542755075,-99.5122815,2411.43,2000,2000-04-25,Spring,53.15
403322099371801,PHELPS,40.5557047,-99.6247601,2465.78,2000,2000-04-28,Spring,72.0
403328099181202,PHELPS,40.5577906,-99.3033482,2272.01,2000,2000-04-15,Spring,24.79
403335099150901,PHELPS,40.55977478,-99.25286046,2241.29,2000,2000-04-28,Spring,24.16
403336099225701,PHELPS,40.55616214,-99.37615377,2296.91,2000,2000-04-15,Spring,19.51
403431099362101,PHELPS,40.5754557,-99.6058865,2477.16,2000,2000-04-15,Spring,80.75
403433099250001,PHELPS,40.576331,-99.4179046,2315.55,2000,2000-04-25,Spring,13.11
403453099141801,PHELPS,40.58307501,-99.2365144,2255.34,2000,2000-04-28,Spring,47.0
403453099190801,PHELPS,40.5807096794444,-99.3229107,2282.14,2000,2000-04-28,Spring,33.72
403454099304801,PHELPS,40.57931189,-99.51412709,2390.5,2000,2000-04-28,Spring,31.0
403506099350101,PHELPS,40.5833317,-99.5866221,2484.33,2000,2000-04-28,Spring,97.17
403507099234101,PHELPS,40.5836771413889,-99.3985091,2295.65,2000,2000-04-28,Spring,8.6
403507099254101,PHELPS,40.58520714,-99.42844836,2318.5,2000,2000-04-15,Spring,17.5
403520099201601,PHELPS,40.5886101475,-99.3416473,2265.95,2000,2000-04-28,Spring,9.26
403540099260001,PHELPS,40.5946306,-99.4353739,2323.77,2000,2000-04-15,Spring,17.39
403625099315401,PHELPS,40.60535831,-99.53303177,2384.53,2000,2000-04-28,Spring,30.0
403625099361001,PHELPS,40.60535831,-99.60306609,2454.12,2000,2000-04-25,Spring,80.09
403638099154301,PHELPS,40.60901195,-99.26298962,2222.0,2000,2000-04-15,Spring,11.9
403644099350001,PHELPS,40.61418514,-99.57972132,2418.26,2000,2000-04-15,Spring,62.95
403646099293301,PHELPS,40.6127772,-99.4935704,2354.25,2000,2000-04-25,Spring,14.31
403651099281401,PHELPS,40.613021,-99.4747929,2345.39,2000,2000-04-25,Spring,35.0
403730099373501,PHELPS,40.6268217,-99.6246292,2471.08,2000,2000-04-25,Spring,85.56
403739099281601,PHELPS,40.627653,-99.4742905,2324.54,2000,2000-04-15,Spring,18.23
403822099324501,PHELPS,40.6415361,-99.5482644,2377.53,2000,2000-04-25,Spring,35.81
403858099305101,PHELPS,40.64309614,-99.50852542,2333.89,2000,2000-04-15,Spring,2.29
403902099313701,PHELPS,40.6483999,-99.5291531,2345.9,2000,2000-04-25,Spring,31.4
403915099190801,PHELPS,40.6573434,-99.3214291,2234.03,2000,2000-04-15,Spring,7.28
403922099223301,PHELPS,40.65834351,-99.38037703,2253.27,2000,2000-06-01,Spring,6.68
403928099333601,PHELPS,40.6571948,-99.5612991,2355.41,2000,2000-04-15,Spring,36.1
403928099371801,PHELPS,40.655954,-99.6202609,2432.98,2000,2000-04-25,Spring,80.32
403941099331901,PHELPS,40.66044972,-99.55637462,2347.21,2000,2000-04-25,Spring,5.05
403941099342701,PHELPS,40.6636923,-99.5766538,2326.71,2000,2000-04-25,Spring,7.0
403954099255801,PHELPS,40.667854,-99.4364595,2268.93,2000,2000-04-25,Spring,2.55
404007099294001,PHELPS,40.6709022,-99.4936146,2290.54,2000,2000-04-25,Spring,7.35
404007099351901,PHELPS,40.6709256,-99.5865622,2322.26,2000,2000-04-25,Spring,7.92
404016099370201,PHELPS,40.6711189,-99.61760995,2335.44,2000,2000-04-12,Spring,6.08
404020099355301,PHELPS,40.6710839,-99.5961084,2326.91,2000,2000-04-25,Spring,4.82
402107099262000,PHELPS,40.35080555555556,-99.43768055555556,2363.91,2001,2001-04-15,Spring,201.58
402110099140001,PHELPS,40.351999,-99.2329232,2283.76,2001,2001-05-01,Spring,168.1
402115099213100,PHELPS,40.35468888888889,-99.35943333333331,2345.58,2001,2001-04-15,Spring,205.78
402124099201601,PHELPS,40.3563466,-99.3403749,2318.47,2001,2001-05-01,Spring,185.0
402159099301600,PHELPS,40.3649,-99.50220555555556,2377.49,2001,2001-04-15,Spring,182.73
402200099160700,PHELPS,40.3669,-99.267175,2280.22,2001,2001-04-15,Spring,147.12
402233099341700,PHELPS,40.376269444444446,-99.57279166666666,2335.32,2001,2001-04-15,Spring,112.14
402320099231001,PHELPS,40.38914722222222,-99.38615277777778,2384.17,2001,2001-04-15,Spring,217.26
402326099185300,PHELPS,40.390366666666665,-99.31649722222222,2306.56,2001,2001-04-15,Spring,145.79
402340099353701,PHELPS,40.39445302,-99.59399869,2264.29,2001,2001-05-09,Spring,25.07
402342099143300,PHELPS,40.39436388888889,-99.24273333333332,2261.52,2001,2001-04-15,Spring,109.16
402406099311800,PHELPS,40.40154444444444,-99.52104166666666,2406.07,2001,2001-04-15,Spring,183.03
402421099112000,PHELPS,40.40549166666666,-99.18921666666668,2216.62,2001,2001-04-15,Spring,51.46
402435099262900,PHELPS,40.40768055555555,-99.44083333333332,2405.19,2001,2001-04-15,Spring,209.17
402513099164801,PHELPS,40.42006111111111,-99.27985277777778,2278.97,2001,2001-04-15,Spring,68.0
402524099201601,PHELPS,40.42334431,-99.33815365,2312.07,2001,2001-05-03,Spring,109.06
402532099235801,PHELPS,40.42582814,-99.40068743,2321.09,2001,2001-05-07,Spring,116.18
402609099350800,PHELPS,40.43199166666666,-99.58200277777776,2443.0,2001,2001-04-15,Spring,176.12
402630099305500,PHELPS,40.44133611111111,-99.51204166666666,2426.38,2001,2001-04-15,Spring,177.18
402703099150901,PHELPS,40.44969595,-99.25284899,2253.96,2001,2001-05-01,Spring,37.0
402716099212401,PHELPS,40.4529071,-99.3592878,2307.74,2001,2001-05-07,Spring,67.85
402756099320601,PHELPS,40.46654722222223,-99.53547222222224,2446.36,2001,2001-04-15,Spring,163.39
402802099285801,PHELPS,40.46775,-99.48183333,2376.84,2001,2001-05-03,Spring,99.58
402813099382100,PHELPS,40.46941944444445,-99.63914166666667,2473.68,2001,2001-04-15,Spring,157.01
402906099342201,PHELPS,40.485083333333336,-99.57288888888888,2458.82,2001,2001-04-15,Spring,149.07
402952099161701,PHELPS,40.49624602,-99.2746825,2255.28,2001,2001-05-01,Spring,14.11
403123099261501,PHELPS,40.52446389,-99.436875,2361.96,2001,2001-05-03,Spring,35.48
403125099295701,PHELPS,40.5247252,-99.4992246,2402.13,2001,2001-05-08,Spring,61.0
403132099381001,PHELPS,40.52556319,-99.63650076,2517.21,2001,2001-05-03,Spring,152.92
403137099330201,PHELPS,40.5263766547222,-99.5496279,2405.25,2001,2001-05-08,Spring,52.54
403138099190801,PHELPS,40.5255972,-99.3224515,2277.27,2001,2001-05-07,Spring,15.1
403210099194201,PHELPS,40.53813889,-99.32944444,2277.13,2001,2001-05-03,Spring,19.38
403217099235801,PHELPS,40.53806574,-99.39982287,2321.45,2001,2001-05-03,Spring,14.46
403217099312001,PHELPS,40.5392815,-99.5207383,2451.89,2001,2001-05-08,Spring,98.0
403224099261801,PHELPS,40.54167314,-99.43849253,2347.7,2001,2001-05-08,Spring,14.6
403230099195901,PHELPS,40.54167314,-99.3339024,2269.36,2001,2001-05-07,Spring,7.81
403309099250701,PHELPS,40.5543784,-99.4199673,2322.67,2001,2001-05-07,Spring,7.58
403309099270601,PHELPS,40.55026689,-99.45178833,2342.87,2001,2001-05-07,Spring,9.2
403309099281401,PHELPS,40.5521635,-99.4737128,2354.64,2001,2001-05-08,Spring,19.38
403322099201601,PHELPS,40.5547811,-99.3416484,2267.67,2001,2001-05-07,Spring,4.12
403322099210701,PHELPS,40.55622914,-99.3528114,2284.27,2001,2001-05-07,Spring,13.09
403322099304801,PHELPS,40.5542755075,-99.5122815,2411.43,2001,2001-05-08,Spring,54.32
403322099371801,PHELPS,40.5557047,-99.6247601,2465.78,2001,2001-05-08,Spring,71.66
403335099150901,PHELPS,40.55977478,-99.25286046,2241.29,2001,2001-05-07,Spring,24.16
